title,author,isbn
Marked,"P.C. Cast (Goodreads Author), Kristin Cast (Goodreads Author)",9780312360269
The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",9781984801814
For Whom the Bell Tolls,Ernest Hemingway,9999999999999
Fear and Loathing in Las Vegas,"Hunter S. Thompson, Ralph Steadman (Illustrator)",9780679785897
The House of the Spirits,"Isabel Allende (Goodreads Author), Magda Bogin (Translator)",9780553383805
The Complete Calvin and Hobbes,Bill Watterson,9780740748479
Roots: The Saga of an American Family,Alex Haley,9780440174646
Misery,Stephen King (Goodreads Author),9780450417399
Howl's Moving Castle,Diana Wynne Jones,9780064410342
Stranger in a Strange Land,Robert A. Heinlein,9780441788385
Island of the Blue Dolphins,Scott O'Dell,B0038AUY8M
Midnight Sun [2008 Draft],Stephenie Meyer,9999999999999
The Girl Who Kicked the Hornet's Nest,"Stieg Larsson, Reg Keeland (Translator)",9780307269997
The Secret History,Donna Tartt,9781400031702
White Oleander,Janet Fitch (Goodreads Author),9780316182546
The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt (Introduction), 郭清玲 (Translator), Barbara Mooyaart-Doubleday (Translator)",9999999999999
Delirium,Lauren Oliver (Goodreads Author),9780061726835
Beautiful Disaster,Jamie McGuire (Goodreads Author),B0052VUNHC
Othello,William Shakespeare,9780743477550
Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow (Goodreads Author),9780975925591
Paper Towns,John Green (Goodreads Author),9780142414934
The Vampire Lestat,Anne Rice,9780345476883
Speak,Laurie Halse Anderson (Goodreads Author),9780374311254
The Idiot,"Fyodor Dostoyevsky, Anna Brailovsky (Translator), Eva M. Martin (Translator), Constance Garnett (Translator), Martin Geeson (Narrator), Joseph Frank (Introduction)",9780679642428
King Lear,William Shakespeare,9780743482769
The Once and Future King,T.H. White,9780441627400
I Know This Much Is True,Wally Lamb (Goodreads Author),9780060987565
Neverwhere,Neil Gaiman (Goodreads Author),9780060557812
Into the Wild,Jon Krakauer (Goodreads Author),9780385486804
Inkheart,"Cornelia Funke (Goodreads Author), Anthea Bell (Translator)",9780439709101
Uncle Tom's Cabin,Harriet Beecher Stowe,9999999999999
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore (Goodreads Author),9780380813810
The Historian,Elizabeth Kostova,B000FCK6EI
The Complete Sherlock Holmes,Arthur Conan Doyle,9780553328257
Candide,"Voltaire, Sara Gioacchino Corcos (Translator)",9780486266893
James and the Giant Peach,"Roald Dahl, Quentin Blake (Illustrator)",9780375814242
Invisible Man,Ralph Ellison,9999999999999
Gone Girl,Gillian Flynn (Goodreads Author),9999999999999
Blood River: A Journey to Africa's Broken Heart,Tim Butcher (Goodreads Author),9780099494287
Paradise Lost,"John Milton, John Leonard (Editor, Contributor)",9780140424393
Leaves of Grass,Walt Whitman,9999999999999
